Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Tangled Web Mask,4261835528,"""6917529086864421895""",,Legendary,Helmet,,Hunter,650,Void Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Heavy Lifting*,Remote Connection,Linear Fusion Rifle Reserves*,Sniper Rifle Reserves,,,
Prodigal Grasps,2762426792,"""6917529088637589226""",,Legendary,Gauntlets,,Hunter,623,Arc Damage Resistance,2,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Fastball*,Energy Weapon Loader,Fusion Rifle Scavenger*,Special Ammo Finder,,,
Illicit Sentry Grips,2628033401,"""6917529096832221697""",,Legendary,Gauntlets,gambitprime,Hunter,705,Arc Damage Resistance,2,Vault,false,false,2,6,,N/A,N/A,2,0,1,,Sentry +1*,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Sniper Rifle Loader*,Impact Induction,Fusion Rifle Scavenger*,Shotgun Scavenger,,
Tangled Web Grips,3609169817,"""6917529096372928344""",,Legendary,Gauntlets,,Hunter,663,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Pulse Rifle Loader*,Power Weapon Loader,Shotgun Scavenger*,Sword Scavenger,,,
Tangled Web Vest,2648545535,"""6917529096357666598""",,Legendary,Chest Armor,,Hunter,666,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,0,3,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Grenade Launcher Aim*,Unflinching Power Aim,Sidearm Reserves*,Primary Ammo Finder,,,
Tangled Web Strides,2206284939,"""6917529086749342288""",,Legendary,Leg Armor,,Hunter,650,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Monochromatic*,Fusion Rifle Dexterity,Traction*,Hand Cannon Scavenger,Special Ammo Finder*,,
Vigil of Heroes,506100699,"""6917529082633420647""",,Legendary,Titan Mark,strikes,Titan,402,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Vanguard Veteran*,Insulation*,Recuperation,Linear Fusion Rifle Scavenger*,Scout Rifle Scavenger,,,,,
Tangled Web Vest,2648545535,"""6917529086185540013""",,Legendary,Chest Armor,,Hunter,632,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Rifle Aim*,Unflinching Machine Gun,Pulse Rifle Reserves*,Special Ammo Finder,,,
Prodigal Cloak,1693706589,"""6917529085449002769""",,Legendary,Hunter Cloak,,Hunter,619,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Innervation*,Invigoration,Linear Fusion Rifle Scavenger*,Heavy Ammo Finder,,,,,,
Wing Contender,1069887756,"""6917529084997598650""",,Legendary,Hunter Cloak,crucible,Hunter,624,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Frumious Blue*,Insulation*,Better Already,Bow Reserves,Hand Cannon Scavenger*,,,,,
Wing Discipline,1063904165,"""6917529088663681692""",,Legendary,Chest Armor,crucible,Titan,500,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Grenade Launcher Aim*,Unflinching Shotgun Aim,Scout Rifle Reserves*,Submachine Gun Reserves,,
Prodigal Grasps,2762426792,"""6917529086179636636""",,Legendary,Gauntlets,,Hunter,631,Solar Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Shotgun Loader*,Submachine Gun Loader,Shotgun Scavenger*,Machine Gun Scavenger,,,
Gensym Knight Strides,3537609113,"""6917529096056953251""",,Legendary,Leg Armor,io,Hunter,648,,,Vault,false,false,1,1,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Masterwork Upgrade*,,,,,,,
Wing Contender,3211001969,"""6917529086507019281""",,Legendary,Chest Armor,crucible,Hunter,629,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Sniper Aim*,Unflinching Energy Aim,Hand Cannon Reserves*,Submachine Gun Reserves,,
